idcode,age,race,married,collgrad,south,industry,occupation,union,wage,hours,nevermarried,yrschool,metro,ccity,currexp,prevexp,everworked,uniondues,marriedyrs,unempins,numkids,kidage1,kidage2,kidage3,grade,grade4,wage2,fwt,networth
5103,44,2,1,0,1,11,8,0,4.53301,40,0,9,0,0,13,4,1,0,7,0,0,,,,9,1,4.53,3,-2466.99
5102,34,2,0,1,0,12,3,0,11.6103,40,1,16,1,1,5,9,1,0,0,0,0,,,,16,4,11.61,6,4610.305
5098,35,1,1,0,1,11,8,,2.648529,38,0,12,0,0,,,1,20,5,0,1,7,,,12,2,2.65,1,-4351.471
5096,39,2,0,0,1,4,11,1,6.038648,40,0,13,0,0,3,5,1,29,0,0,1,13,,,13,3,6.04,0,-961.3524
5095,38,2,1,0,1,4,6,0,6.022544,48,0,12,0,0,9,6,1,0,9,0,3,15,9,3,12,2,6.02,1,-977.4556
5091,35,2,0,0,0,4,6,,4.071905,35,1,12,1,1,0,4,1,10,0,0,3,16,12,5,12,2,4.07,8,-2928.095
5090,36,2,0,0,1,6,8,0,2.818035,20,0,12,1,0,0,5,1,0,0,47,0,,,,12,2,2.82,1,-4181.965
5089,36,2,0,0,1,4,6,0,4.871175,37,0,12,0,0,6,8,1,0,0,0,3,6,4,1,12,2,4.87,8,-2128.825
5088,44,2,0,0,1,4,6,0,4.267311,40,1,12,0,0,1,13,1,0,0,0,2,13,6,,12,2,4.27,8,-2732.689
5086,39,1,1,0,1,12,8,0,2.415459,30,0,11,0,0,3,1,1,0,7,111,3,3,2,2,11,1,2.42,9,-4584.541
5084,42,1,1,1,1,11,13,0,5.885666,50,0,17,0,0,10,7,1,0,6,0,1,4,,,17,4,5.89,8,-1114.334
5081,39,1,1,0,1,6,5,0,4.025765,16,0,12,0,0,0,9,1,0,6,148,3,13,8,4,12,2,4.03,4,-2974.235
5080,35,1,1,0,1,4,6,0,3.405797,40,0,8,0,0,3,6,1,0,11,0,3,8,6,5,6,1,3.41,8,-3594.203
5079,31,1,0,0,1,11,2,0,4.146536,40,0,,0,0,9,3,1,0,0,0,0,,,,,,4.15,2,-2853.464
5078,36,1,1,1,1,11,1,1,13.9372,40,0,17,1,1,9,6,1,25,0,0,1,10,,,17,4,13.94,2,6937.197
5077,39,1,1,0,1,11,3,0,2.818035,40,0,12,0,0,0,0,0,0,7,0,0,,,,12,2,2.82,2,-4181.965
5074,38,1,1,1,1,11,13,0,7.238324,40,0,17,0,0,5,5,1,0,3,0,3,14,13,7,17,4,7.24,0,238.3237
5072,35,1,1,1,1,11,1,0,13.01932,5,0,18,1,0,2,13,1,0,10,15,1,8,,,18,4,13.02,8,6019.322
5068,40,1,1,1,0,6,3,0,3.872784,40,0,16,1,0,0,10,1,0,3,0,2,7,6,,16,4,3.87,2,-3127.216
5066,41,1,0,0,1,12,3,0,6.505631,40,0,14,0,0,4,10,1,0,0,0,1,14,,,14,3,6.51,4,-494.3686
5065,36,1,1,0,1,11,8,0,3.220612,40,0,8,0,0,11,5,1,0,3,0,3,12,6,4,7,1,3.22,4,-3779.388
5064,38,1,1,0,1,4,1,,5.016723,40,0,12,0,0,2,8,1,28,8,0,0,,,,12,2,5.02,0,-1983.277
5063,39,1,1,1,1,11,13,0,6.199676,45,0,16,1,1,3,3,1,0,0,0,0,,,,16,4,6.2,1,-800.3245
5061,38,2,1,0,1,4,5,0,2.801002,40,0,10,0,0,2,6,1,0,0,0,3,13,9,5,10,1,2.8,5,-4198.998
5059,38,1,1,1,1,11,13,0,8.711756,40,0,18,1,1,2,13,1,0,8,0,3,13,9,3,18,4,8.71,8,1711.756
5057,44,1,1,0,0,11,3,,4.827484,40,0,15,1,1,1,7,1,14,11,0,1,9,,,15,3,4.83,5,-2172.516
5054,31,2,1,0,0,11,8,0,1.561996,70,0,11,1,1,2,0,1,0,0,0,2,5,2,,11,1,1.56,2,-5438.003
5047,42,2,0,0,1,11,8,,3.1362,40,0,8,0,0,2,2,1,25,0,0,1,7,,,6,1,3.14,4,-3863.8
5046,36,1,1,0,1,7,3,0,5.789049,40,0,12,0,0,7,9,1,0,3,0,3,9,8,7,12,2,5.79,7,-1210.951
5045,34,1,1,0,1,12,2,0,11.04669,35,0,13,0,0,16,0,1,0,8,0,1,11,,,13,3,11.05,0,4046.693
5044,35,3,0,0,1,3,1,0,11.6103,40,0,13,1,0,9,6,1,0,0,0,3,14,14,7,13,3,11.61,6,4610.305
5043,39,3,0,1,0,11,1,0,17.52817,40,0,17,0,0,7,9,1,0,0,0,1,10,,,17,4,17.53,8,10528.17
5042,42,1,1,1,1,12,3,0,5.346215,40,0,16,0,0,2,4,1,0,1,0,1,10,,,16,4,5.35,3,-1653.785
5041,38,1,1,0,1,7,3,0,6.038648,40,0,14,1,1,6,8,1,0,11,0,2,15,8,,14,3,6.04,3,-961.3524
5033,30,2,1,0,1,12,2,0,11.07085,40,0,13,0,0,8,1,1,0,8,0,1,9,,,13,3,11.07,5,4070.854
5029,35,2,0,0,1,12,3,1,9.307566,25,1,15,0,0,2,5,1,9,0,131,3,9,9,6,15,3,9.31,0,2307.566
5028,31,2,1,1,1,11,13,0,5.032206,40,0,17,0,0,7,6,1,0,7,0,2,13,12,,17,4,5.03,6,-1967.794
5025,39,2,0,1,1,11,1,0,7.125603,40,0,16,1,1,12,3,1,0,0,0,3,14,7,5,16,4,7.13,2,125.6027
5024,40,2,0,0,1,11,13,0,3.486311,40,0,12,1,1,2,11,1,0,0,0,0,,,,12,2,3.49,5,-3513.689
5021,28,1,1,0,1,6,3,1,4.025765,40,0,12,1,1,1,9,1,14,6,0,2,1,1,,12,2,4.03,0,-2974.235
5019,36,1,0,1,0,11,2,,35.73162,45,0,16,1,0,13,2,1,24,0,0,1,13,,,16,4,35.73,3,28731.62
5018,32,1,1,1,1,11,3,,5.367891,40,0,17,1,0,3,12,1,20,4,0,1,10,,,17,4,5.37,5,-1632.109
5017,39,1,0,0,1,3,3,0,7.624793,38,0,12,1,1,9,8,1,0,0,0,0,,,,12,2,7.62,7,624.793
5015,36,1,1,0,0,7,3,0,12.9066,24,0,14,1,0,1,14,1,0,1,29,0,,,,14,3,12.91,1,5906.603
5013,28,1,0,0,1,8,1,0,6.164872,40,0,12,1,0,1,10,1,0,0,0,1,18,,,12,2,6.16,9,-835.1283
5011,33,1,1,1,1,4,2,0,9.766504,55,0,16,1,1,4,7,1,0,10,0,0,,,,16,4,9.77,1,2766.504
5010,43,1,1,0,1,7,2,0,21.67472,50,0,12,1,0,4,16,1,0,10,0,0,,,,12,2,21.67,3,14674.71
5009,41,1,1,0,1,9,8,0,7.045088,40,0,12,1,1,4,7,1,0,3,0,1,12,,,12,2,7.05,8,45.08829
5008,41,1,0,0,0,11,1,0,10.06441,40,0,12,1,0,1,15,1,0,0,0,1,13,,,12,2,10.06,2,3064.413
5007,36,1,1,0,0,12,3,0,9.911431,40,0,12,1,0,16,1,1,,5,0,2,8,3,,12,2,9.91,1,2911.431
5003,26,1,0,0,1,6,2,0,4.484702,38,0,12,1,0,3,1,1,0,0,0,0,,,,12,2,4.48,8,-2515.298
5002,39,1,0,0,1,11,3,1,5.611914,40,0,12,1,0,2,7,1,4,0,0,3,10,10,3,12,2,5.61,5,-1388.086
5001,27,1,1,0,1,6,10,0,4.180602,40,0,12,1,1,0,5,1,0,4,0,2,6,2,,12,2,4.18,7,-2819.398
4998,36,1,1,0,1,6,4,0,2.979065,17,0,13,1,0,0,0,0,0,7,128,2,11,6,,13,3,2.98,1,-4020.935
4996,34,1,0,0,1,4,6,1,6.884055,58,0,12,1,1,3,10,1,22,0,0,1,5,,,12,2,6.88,0,-115.9453
4995,40,1,1,0,1,1,6,,7.589398,26,0,12,1,0,2,10,1,17,10,207,2,19,13,,12,2,7.59,1,589.3979
4990,36,1,1,0,1,11,3,1,5.805152,40,0,12,1,0,3,4,1,5,4,0,2,10,4,,12,2,5.81,4,-1194.848
4989,39,1,1,0,1,4,2,1,6.280193,50,0,12,1,0,6,1,1,29,4,0,3,9,9,3,12,2,6.28,3,-719.8071
4987,31,1,1,0,1,11,3,1,5.265698,40,0,11,0,0,3,9,1,5,8,0,0,,,,11,1,5.27,2,-1734.302
4983,38,1,1,0,1,4,6,0,4.460545,40,0,12,0,0,5,1,1,0,3,0,1,11,,,12,2,4.46,0,-2539.455
4978,44,1,1,0,1,4,5,0,4.64573,40,0,12,0,0,0,0,0,0,11,0,1,11,,,12,2,4.65,9,-2354.27
4977,36,1,1,0,1,3,2,,3.663726,55,0,11,1,0,3,7,1,23,3,0,1,7,,,11,1,3.66,1,-3336.274
4972,35,1,1,1,1,11,13,0,6.884055,45,0,16,1,0,11,2,1,0,5,0,2,18,11,,16,4,6.88,8,-115.9453
4971,39,1,1,0,1,7,3,0,4.186793,40,0,12,0,0,9,9,1,0,11,0,0,,,,12,2,4.19,4,-2813.207
4968,41,1,0,0,1,6,3,,3.692863,60,0,13,1,0,4,11,1,18,0,0,1,0,,,13,3,3.69,7,-3307.137
4967,24,1,1,1,1,11,13,0,7.439612,40,0,16,0,0,3,2,1,0,0,0,3,6,6,6,16,4,7.44,0,439.6124
4966,43,1,1,0,1,11,3,0,3.832527,38,0,12,0,0,12,6,1,0,1,0,1,8,,,12,2,3.83,3,-3167.473
4965,41,1,1,0,1,8,2,0,11.41706,40,0,14,1,0,0,0,0,0,3,0,2,5,3,,14,3,11.42,3,4417.064
4964,39,1,0,0,1,4,6,1,6.239936,40,0,12,0,0,3,8,1,23,0,0,1,9,,,12,2,6.24,0,-760.0641
4963,35,1,1,0,1,6,3,0,8.043473,40,0,12,1,0,14,2,1,0,10,0,0,,,,12,2,8.04,0,1043.473
4962,34,1,0,0,1,6,2,0,7.777774,55,0,12,1,0,9,4,1,0,0,0,3,19,14,7,12,2,7.78,8,777.7744
4961,32,1,1,0,1,7,4,0,4.025765,20,0,13,1,1,2,5,1,0,6,125,3,18,12,6,13,3,4.03,0,-2974.235
4959,28,1,1,0,1,11,2,0,14.86312,50,0,12,0,0,10,3,1,0,7,0,3,5,4,1,12,2,14.86,1,7863.117
4957,36,2,0,0,0,8,3,0,9.29146,40,0,12,1,0,0,16,1,0,0,0,1,9,,,12,2,9.29,7,2291.46
4955,36,2,1,0,1,11,8,1,3.252816,40,0,11,1,1,1,10,1,12,11,0,3,10,8,7,11,1,3.25,8,-3747.184
4954,43,2,0,0,0,6,4,0,3.220612,32,0,14,1,1,2,12,1,0,0,0,3,18,14,7,14,3,3.22,9,-3779.388
4953,38,2,1,0,0,11,8,1,7.045088,40,0,11,1,1,12,5,1,18,6,0,1,6,,,11,1,7.05,1,45.08829
4952,27,2,0,1,1,4,1,0,17.41545,40,0,16,1,1,11,2,1,0,0,0,2,14,12,,16,4,17.42,9,10415.45
4949,34,2,0,0,1,11,8,0,5.273752,40,0,9,1,1,6,6,1,0,0,0,3,6,1,0,9,1,5.27,3,-1726.248
4946,40,2,0,0,1,4,5,1,4.62963,40,0,12,0,0,10,5,1,11,0,0,3,10,9,3,12,2,4.63,1,-2370.37
4944,44,2,1,0,0,11,3,1,7.520126,35,0,15,1,0,3,13,1,15,2,0,2,10,7,,15,3,7.52,7,520.1259
4942,39,2,0,1,1,4,4,0,17.02898,40,1,16,1,1,8,10,1,0,0,0,1,12,,,16,4,17.03,3,10028.98
4937,41,2,1,0,1,4,6,0,4.53301,40,0,9,0,0,4,2,1,0,8,0,2,1,0,,9,1,4.53,7,-2466.99
4935,40,2,0,0,1,11,3,0,4.259257,40,0,14,0,0,14,0,1,0,0,0,3,12,7,3,14,3,4.26,8,-2740.743
4933,37,2,0,0,1,4,6,,3.4219,60,1,12,1,1,3,6,1,27,0,0,0,,,,12,2,3.42,3,-3578.1
4932,36,2,1,0,0,9,7,,2.415459,16,0,11,1,1,6,0,1,28,10,8,1,13,,,11,1,2.42,6,-4584.541
4930,38,2,0,1,1,11,13,0,7.318838,40,1,18,0,0,6,5,1,0,0,0,3,10,10,7,18,4,7.32,8,318.8381
4928,32,1,1,1,1,11,13,0,8.72905,40,0,18,0,0,3,8,1,0,8,0,0,,,,18,4,8.73,1,1729.05
4926,36,2,0,1,1,4,6,0,7.045088,40,0,16,1,1,10,3,1,0,0,0,1,10,,,16,4,7.05,0,45.08829
4925,40,2,1,0,0,4,3,0,13.46055,40,0,13,1,1,2,15,1,0,0,0,2,10,7,,13,3,13.46,1,6460.553
4921,28,2,1,0,1,4,3,0,3.864734,40,0,11,1,1,8,1,1,0,3,0,3,10,6,2,11,1,3.86,3,-3135.266
4920,37,1,1,1,1,11,2,0,6.078904,70,0,18,0,0,9,4,1,0,2,244,2,6,4,,18,4,6.08,1,-921.0958
4919,36,2,0,0,0,6,3,0,5.233495,40,0,12,1,1,4,7,1,0,0,0,0,,,,12,2,5.23,0,-1766.505
4912,42,2,0,0,1,4,6,1,3.743959,40,1,11,0,0,3,10,1,14,0,0,2,10,5,,11,1,3.74,5,-3256.041
4911,31,1,1,0,1,5,3,1,9.57327,38,0,12,0,0,12,0,1,9,4,0,1,19,,,12,2,9.57,6,2573.27
4909,36,1,1,0,1,11,8,,3.344482,46,0,9,1,1,0,6,1,18,4,0,1,9,,,9,1,3.34,7,-3655.518
4907,37,2,1,1,1,11,3,0,3.961351,40,0,17,1,1,2,6,1,0,0,0,3,7,3,1,17,4,3.96,0,-3038.649
4903,42,2,1,0,1,4,6,0,4.025765,40,0,12,0,0,9,2,1,0,0,0,2,18,14,,12,2,4.03,0,-2974.235
4900,36,2,0,1,1,6,3,0,2.697261,9,0,18,0,0,18,0,1,0,0,11,0,,,,18,4,2.7,4,-4302.739
4898,34,2,1,0,1,11,2,0,5.394523,40,0,12,0,0,0,0,0,0,10,0,2,11,7,,12,2,5.39,5,-1605.477
4897,39,2,0,0,1,11,8,0,2.979065,40,0,11,0,0,15,5,1,0,0,0,3,12,7,0,11,1,2.98,7,-4020.935
4890,35,1,1,1,1,11,8,0,4.025765,6,0,16,0,0,1,11,1,0,7,5,0,,,,16,4,4.03,6,-2974.235
4885,35,2,1,0,0,11,3,0,4.428341,33,0,12,1,1,10,4,1,0,6,0,0,,,,12,2,4.43,3,-2571.659
4884,39,1,1,0,1,6,3,0,3.344482,20,0,12,1,1,1,5,1,0,11,10,3,1,1,1,12,2,3.34,9,-3655.518
4882,44,1,1,0,1,6,3,0,2.697261,40,0,12,0,0,2,14,1,0,6,0,2,13,7,,12,2,2.7,9,-4302.739
4880,22,2,1,0,1,4,6,0,4.508855,50,0,12,0,0,2,5,1,0,7,0,2,11,7,,12,2,4.51,4,-2491.145
4876,41,2,0,0,0,4,6,1,7.850241,40,0,12,1,1,10,1,1,19,0,0,2,10,8,,12,2,7.85,3,850.2412
4874,35,2,0,0,1,9,7,0,2.681159,30,0,8,0,0,2,11,1,0,0,227,0,,,,7,1,2.68,5,-4318.84
4872,35,2,1,0,1,4,6,0,5.619967,40,0,9,0,0,4,11,1,0,3,0,0,,,,9,1,5.62,9,-1380.033
4871,38,2,1,0,1,4,6,0,2.898549,40,0,12,0,0,5,11,1,0,3,0,0,,,,12,2,2.9,0,-4101.451
4870,38,2,1,0,1,4,6,0,4.227053,40,0,12,0,0,13,2,1,0,6,0,2,15,8,,12,2,4.23,0,-2772.947
4868,44,2,0,0,1,4,6,,3.051839,40,1,12,0,0,1,10,1,22,0,0,3,7,3,1,12,2,3.05,0,-3948.161
4861,35,2,1,0,1,9,8,0,8.05153,25,0,8,1,1,0,8,1,0,0,281,2,8,4,,8,1,8.05,7,1051.53
4858,39,2,1,0,1,6,3,0,5.748792,35,0,12,1,0,3,15,1,0,3,0,1,12,,,12,2,5.75,9,-1251.208
4857,42,2,0,0,1,7,3,0,6.602252,38,1,12,1,0,3,15,1,0,0,0,2,8,6,,12,2,6.6,6,-397.7485
4856,41,2,0,0,1,8,8,,3.205127,30,0,12,0,0,2,14,1,19,0,298,2,8,2,,12,2,3.21,2,-3794.873
4854,42,2,1,0,1,11,5,0,3.341383,20,0,12,0,0,16,0,1,0,0,62,0,,,,12,2,3.34,0,-3658.617
4852,33,2,0,0,1,4,1,0,6.441224,40,0,12,0,0,12,4,1,0,0,0,2,13,8,,12,2,6.44,6,-558.7759
4850,42,2,0,0,1,4,6,,3.623188,40,0,11,0,0,11,6,1,8,0,0,3,14,10,7,11,1,3.62,4,-3376.812
4849,30,2,1,0,1,4,6,0,5.032206,40,0,12,0,0,4,4,1,0,1,0,1,16,,,12,2,5.03,0,-1967.794
4848,25,2,1,0,1,4,11,,4.163879,40,0,11,1,0,1,5,1,5,8,0,0,,,,11,1,4.16,8,-2836.121
4847,26,2,1,0,1,4,6,0,3.220612,40,0,12,1,1,0,7,1,0,9,0,3,11,6,1,12,2,3.22,9,-3779.388
4846,41,2,0,0,1,,6,0,3.663445,40,1,12,1,1,0,17,1,0,0,0,1,5,,,12,2,3.66,9,-3336.554
4845,24,2,1,0,1,12,3,0,5.032206,40,0,12,1,1,2,7,1,0,7,0,3,8,4,0,12,2,5.03,8,-1967.794
4842,37,2,0,0,1,4,6,1,4.025765,40,0,8,0,0,9,0,1,29,0,0,1,5,,,7,1,4.03,0,-2974.235
4841,32,2,0,0,1,6,3,0,3.526568,40,1,14,0,0,1,11,1,0,0,0,2,11,9,,14,3,3.53,5,-3473.432
4838,34,2,0,1,1,1,10,,2.508361,50,0,17,0,0,0,3,1,8,0,0,0,,,,17,4,2.51,1,-4491.639
4835,27,2,1,0,0,4,6,1,10.06441,40,0,12,1,1,5,0,1,12,9,0,0,,,,12,2,10.06,7,3064.413
4825,32,2,0,1,1,11,13,0,7.495973,55,0,17,1,1,12,1,1,0,0,0,1,15,,,17,4,7.5,7,495.9726
4824,41,2,1,0,0,7,3,0,5.370369,39,0,12,1,0,2,10,1,0,5,0,0,,,,12,2,5.37,6,-1629.631
4823,34,1,1,0,1,6,2,0,6.795487,45,0,12,0,0,5,9,1,0,9,0,3,9,5,1,12,2,6.8,1,-204.5131
4819,37,2,0,1,1,11,13,1,12.82608,35,1,18,1,1,12,3,1,5,0,0,0,,,,18,4,12.83,4,5826.082
4817,28,1,1,1,1,8,11,0,4.025765,15,0,16,1,1,1,2,1,0,1,282,2,15,10,,16,4,4.03,8,-2974.235
4816,32,2,1,0,0,11,3,0,4.219,33,0,12,1,1,9,0,1,0,9,0,1,7,,,12,2,4.22,0,-2781
4815,36,2,1,0,1,4,6,0,3.260869,40,0,14,0,0,0,8,1,0,5,0,2,10,8,,14,3,3.26,1,-3739.131
4814,44,2,1,0,1,11,1,0,4.186793,40,0,11,0,0,5,12,1,0,3,0,2,9,5,,11,1,4.19,5,-2813.207
4813,26,2,1,0,1,4,6,0,3.019324,40,0,12,0,0,4,7,1,0,3,0,1,8,,,12,2,3.02,0,-3980.676
4810,44,1,1,0,1,6,3,,3.344482,40,0,12,0,0,8,1,1,15,1,0,3,8,3,2,12,2,3.34,4,-3655.518
4808,40,1,0,0,1,6,4,0,4.508855,42,1,13,0,0,8,10,1,0,0,0,2,8,5,,13,3,4.51,5,-2491.145
4806,30,1,1,0,1,7,3,0,7.069242,35,0,12,0,0,5,4,1,0,5,0,2,3,3,,12,2,7.07,1,69.24248
4801,36,1,1,0,1,7,2,,38.70926,40,0,13,1,1,3,12,1,14,11,0,1,17,,,13,3,38.71,9,31709.26
4799,44,1,1,0,1,7,2,0,5.917873,50,0,12,1,0,2,13,1,0,11,0,3,16,11,4,12,2,5.92,7,-1082.127
4798,36,1,0,1,1,11,1,0,9.046823,40,1,18,1,1,7,6,1,0,0,0,2,5,2,,18,4,9.05,1,2046.823
4790,36,1,1,0,1,11,3,,5.312786,35,0,11,1,0,8,3,1,26,8,0,0,,,,11,1,5.31,8,-1687.214
4788,37,1,1,0,1,7,4,0,4.420288,35,0,12,1,0,2,8,1,0,7,0,0,,,,12,2,4.42,1,-2579.712
4785,38,1,1,0,1,9,3,0,4.025765,40,0,12,1,0,0,10,1,0,10,0,3,5,1,0,12,2,4.03,3,-2974.235
4784,36,1,1,0,1,11,8,0,5.845409,18,0,12,1,0,5,0,1,0,6,254,1,4,,,12,2,5.85,7,-1154.591
4780,34,1,1,0,1,6,3,0,4.138486,35,0,12,1,0,2,6,1,0,11,0,0,,,,12,2,4.14,6,-2861.514
4772,30,2,0,1,1,11,1,1,10.86957,40,0,18,1,1,10,2,1,15,0,0,2,16,9,,18,4,10.87,0,3869.566
4771,25,2,1,0,1,11,8,0,5.716585,30,0,13,1,0,1,4,1,0,7,258,0,,,,13,3,5.72,2,-1283.415
4769,34,2,0,0,1,6,8,0,3.397743,32,1,12,1,0,6,7,1,0,0,0,0,,,,12,2,3.4,1,-3602.257
4767,36,1,1,1,1,11,13,0,6.964568,40,0,16,0,0,5,8,1,0,8,0,1,11,,,16,4,6.96,8,-35.43186
4766,28,1,1,1,1,11,2,0,11.61835,48,0,16,0,0,0,0,0,0,9,0,3,8,5,3,16,4,11.62,0,4618.352
4763,40,1,1,0,1,11,1,0,2.568437,36,0,12,1,0,2,11,1,0,8,0,1,14,,,12,2,2.57,4,-4431.563
4762,32,1,1,1,1,11,13,0,9.066018,40,0,18,1,0,15,0,1,0,0,0,1,15,,,18,4,9.07,0,2066.018
4759,31,1,1,1,1,11,13,1,10.10467,40,0,18,0,0,8,6,1,29,1,0,3,11,9,4,18,4,10.1,6,3104.667
4757,31,1,1,0,0,6,4,0,3.140096,30,0,10,1,1,0,2,1,0,5,90,0,,,,10,1,3.14,7,-3859.904
4751,37,1,0,0,1,12,3,1,11.5781,14,0,12,0,0,0,0,0,25,0,0,0,,,,12,2,11.58,6,4578.098
4750,40,1,1,1,1,11,13,0,2.785829,40,0,17,0,0,1,10,1,0,6,0,2,13,6,,17,4,2.79,7,-4214.171
4749,35,1,1,0,0,11,3,,5.80639,40,0,12,1,0,4,8,1,9,6,0,0,,,,12,2,5.81,5,-1193.61
4746,37,1,0,0,1,11,3,,4.389632,40,0,12,0,0,0,11,1,1,0,0,2,11,5,,12,2,4.39,0,-2610.368
4742,40,1,1,0,1,11,1,0,5.297905,40,0,10,0,0,10,4,1,0,8,0,0,,,,10,1,5.3,6,-1702.095
4739,43,1,1,0,0,7,1,,38.70926,40,0,13,1,0,12,6,1,3,4,0,3,11,10,7,13,3,38.71,9,31709.26
4736,35,1,1,0,0,6,3,,4.180602,30,0,12,0,0,1,6,1,5,1,205,0,,,,12,2,4.18,7,-2819.398
4734,35,1,1,0,1,12,3,0,4.621576,40,0,12,0,0,2,10,1,0,3,0,0,,,,12,2,4.62,4,-2378.424
4733,41,1,1,0,1,11,13,0,2.938808,25,0,13,0,0,3,9,1,0,6,106,3,17,10,5,13,3,2.94,9,-4061.192
4729,43,1,1,0,1,11,8,,3.051839,25,0,8,0,0,0,2,1,27,2,253,3,9,2,1,8,1,3.05,4,-3948.161
4728,26,1,1,0,1,6,8,,5.202526,9,0,9,0,0,7,2,1,15,10,100,0,,,,9,1,5.2,9,-1797.474
4726,33,1,0,1,1,6,3,0,2.73752,25,0,16,0,0,1,7,1,0,0,177,2,2,1,,16,4,2.74,6,-4262.48
4725,33,3,1,0,0,11,3,0,5.813202,40,0,14,1,0,5,6,1,0,4,0,1,15,,,14,3,5.81,0,-1186.798
4724,29,1,1,0,1,12,3,0,4.412238,40,0,12,0,0,1,7,1,0,9,0,2,8,5,,12,2,4.41,1,-2587.762
4721,44,1,0,1,1,11,1,0,10.86151,40,0,15,0,0,17,1,1,0,0,0,3,12,7,5,15,3,10.86,7,3861.512
4718,23,2,0,0,1,11,8,0,1.859903,25,0,12,0,0,1,5,1,0,0,142,1,3,,,12,2,1.86,7,-5140.097
4713,28,1,1,0,1,6,3,0,4.355878,32,0,12,0,0,5,6,1,0,9,0,3,10,5,1,12,2,4.36,4,-2644.122
4711,38,1,1,1,1,11,13,,35.73162,45,0,17,0,0,2,8,1,29,0,0,0,,,,17,4,35.73,6,28731.62
4707,44,2,0,0,1,9,7,,2.787067,30,0,8,0,0,6,6,1,29,0,207,1,13,,,6,1,2.79,4,-4212.933
4705,39,1,1,1,1,11,13,0,7.230271,9,0,16,1,0,3,9,1,0,4,285,1,8,,,16,4,7.23,8,230.2709
4704,44,2,1,0,1,12,3,0,10,40,0,12,1,1,18,0,1,0,9,0,0,,,,12,2,10,4,1904.991
4699,37,2,1,1,1,11,2,0,14.82286,47,0,17,1,1,8,6,1,0,10,0,0,,,,17,4,14.82,1,7822.856
